Índice de Desenvolvimento Humano (IDH)
Sigla;Código;Município;1970;1980;1991;
AL;2709004;Tanque d'Arca;0,234;0,335;0,367;
AL;2709103;Taquarana;0,206;0,266;0,342;
AL;2709152;Teotônio Vilela;;;0,358;
AL;2709202;Traipu;0,221;0,29;0,313;
AL;2709301;União dos Palmares;0,225;0,34;0,366;
AL;2709400;Viçosa;0,236;0,331;0,385;
AM;1300029;Alvarães;;;0,474;
AM;1300060;Amaturá;;;0,439;
AM;1300086;Anamã;;;0,491;
AM;1300102;Anori;0,338;0,484;0,465;
AM;1300144;Apuí;;;0,517;
AM;1300201;Atalaia do Norte;0,311;0,36;0,44;
AM;1300300;Autazes;0,385;0,429;0,518;
AM;1300409;Barcelos;0,42;0,526;0,492;
AM;1300508;Barreirinha;0,341;0,44;0,484;
AM;1300607;Benjamin Constant;0,361;0,486;0,537;
AM;1300631;Beruri;;;0,393;
AM;1300680;Boa Vista do Ramos;;;0,486;
AM;1300706;Boca do Acre;0,257;0,407;0,426;
AM;1300805;Borba;0,298;0,439;0,475;
AM;1300839;Caapiranga;;;0,444;
AM;1300904;Canutama;0,278;0,375;0,387;
AM;1301001;Carauari;0,262;0,318;0,392;
AM;1301100;Careiro;0,328;0,43;0,506;
AM;1301159;Careiro da Várzea;;;0,474;
AM;1301209;Coari;0,326;0,414;0,438;
AM;1301308;Codajás;0,322;0,486;0,472;
AM;1301407;Eirunepé;0,26;0,37;0,385;
AM;1301506;Envira;0,223;0,309;0,317;
AM;1301605;Fonte Boa;0,289;0,454;0,449;
AM;1301654;Guajará;;;0,355;
AM;1301704;Humaitá;0,331;0,517;0,467;
AM;1301803;Ipixuna;0,24;0,284;0,342;
AM;1301852;Iranduba;;;0,53;
AM;1301902;Itacoatiara;0,377;0,543;0,565;
AM;1301951;Itamarati;;;0,343;
AM;1302009;Itapiranga;0,402;0,5;0,544;
AM;1302108;Japurá;0,293;0,474;0,375;
AM;1302207;Juruá;0,249;0,413;0,37;
AM;1302306;Jutaí;0,35;0,442;0,416;
AM;1302405;Lábrea;0,269;0,396;0,413;
AM;1302504;Manacapuru;0,323;0,489;0,506;
AM;1302553;Manaquiri;;;0,48;
AM;1302603;Manaus;0,544;0,721;0,776;
AM;1302702;Manicoré;0,362;0,487;0,454;
AM;1302801;Maraã;0,267;0,299;0,398;
AM;1302900;Maués;0,342;0,484;0,595;
AM;1303007;Nhamundá;0,314;0,422;0,489;
AM;1303106;Nova Olinda do Norte;0,329;0,458;0,481;
AM;1303205;Novo Airão;0,398;0,45;0,472;
AM;1303304;Novo Aripuanã;0,386;0,448;0,466;
AM;1303403;Parintins;0,404;0,533;0,557;
AM;1303502;Pauini;0,277;0,375;0,382;
AM;1303536;Presidente Figueiredo;;;0,71;
AM;1303569;Rio Preto da Eva;;;0,549;
AM;1303601;Santa Isabel do Rio Negro;0,324;0,445;0,408;
AM;1303700;Santo Antônio do Içá;0,33;0,412;0,428;
AM;1303809;São Gabriel da Cachoeira;0,349;0,404;0,552;
AM;1303908;São Paulo de Olivença;0,269;0,373;0,417;
AM;1303957;São Sebastião do Uatumã;;;0,624;
AM;1304005;Silves;0,356;0,62;0,604;
AM;1304062;Tabatinga;;;0,543;
AM;1304104;Tapauá;0,295;0,397;0,339;
AM;1304203;Tefé;0,372;0,487;0,524;
AM;1304237;Tonantins;;;0,464;
AM;1304260;Uarini;;;0,531;
AM;1304302;Urucará;0,39;0,528;0,546;
AM;1304401;Urucurituba;0,313;0,484;0,451;
AP;1600055;Serra do Navio;;;;
AP;1600105;Amapá;0,343;0,453;0,52;
AP;1600154;Pedra Branca do Amaparí;;;;
AP;1600204;Calçoene;0,383;0,616;0,579;
AP;1600212;Cutias;;;;
AP;1600238;Ferreira Gomes;;;0,487;
AP;1600253;Itaubal;;;;
AP;1600279;Laranjal do Jari;;;0,583;
AP;1600303;Macapá;0,443;0,602;0,75;
AP;1600402;Mazagão;0,323;0,51;0,444;
AP;1600501;Oiapoque;0,418;0,547;0,653;
AP;1600535;Porto Grande;;;;
AP;1600550;Pracuúba;;;;
AP;1600600;Santana;;;0,6;
AP;1600709;Tartarugalzinho;;;0,484;
AP;1600808;Vitória do Jari;;;;
BA;2900108;Abaíra;0,329;0,446;0,47;
BA;2900207;Abaré;0,249;0,375;0,407;
BA;2900306;Acajutiba;0,255;0,336;0,396;
BA;2900355;Adustina;;;0,323;
BA;2900405;Água Fria;0,249;0,326;0,335;
BA;2900504;Érico Cardoso;0,308;0,37;0,435;
BA;2900603;Aiquara;0,256;0,444;0,41;
BA;2900702;Alagoinhas;0,349;0,545;0,589;
BA;2900801;Alcobaça;0,269;0,481;0,438;
BA;2900900;Almadina;0,282;0,364;0,368;
BA;2901007;Amargosa;0,278;0,428;0,456;
BA;2901106;Amélia Rodrigues;0,33;0,467;0,48;
BA;2901155;América Dourada;;;0,403;
BA;2901205;Anagé;0,226;0,313;0,375;
BA;2901304;Andaraí;0,289;0,374;0,382;
BA;2901353;Andorinha;;;0,363;
BA;2901403;Angical;0,306;0,382;0,414;
BA;2901502;Anguera;0,279;0,358;0,395;
BA;2901601;Antas;0,28;0,352;0,392;
BA;2901700;Antônio Cardoso;0,236;0,367;0,364;
BA;2901809;Antônio Gonçalves;0,275;0,365;0,381;
BA;2901908;Aporá;0,216;0,339;0,37;
BA;2901957;Apuarema;;;0,391;
BA;2902005;Aracatu;0,281;0,369;0,374;
BA;2902054;Araças;;;0,359;
BA;2902104;Araci;0,239;0,31;0,329;
BA;2902203;Aramari;0,265;0,377;0,416;
BA;2902252;Arataca;;;0,34;
BA;2902302;Aratuípe;0,251;0,326;0,385;
BA;2902401;Aurelino Leal;0,285;0,455;0,387;
BA;2902500;Baianópolis;0,269;0,332;0,37;
BA;2902609;Baixa Grande;0,239;0,36;0,391;
BA;2902658;Banzaê;;;0,357;
BA;2902708;Barra;0,249;0,356;0,373;
BA;2902807;Barra da Estiva;0,267;0,437;0,43;
BA;2902906;Barra do Choça;0,22;0,352;0,385;
BA;2903003;Barra do Mendes;0,364;0,435;0,446;
BA;2903102;Barra do Rocha;0,222;0,382;0,325;
BA;2903201;Barreiras;0,307;0,55;0,622;
BA;2903235;Barro Alto;;;0,427;
BA;2903276;Barrocas;;;;
BA;2903300;Governador Lomanto Júnior;0,285;0,427;0,343;
BA;2903409;Belmonte;0,312;0,427;0,406;
BA;2903508;Belo Campo;0,285;0,365;0,411;
BA;2903607;Biritinga;0,274;0,366;0,392;
BA;2903706;Boa Nova;0,292;0,364;0,341;
BA;2903805;Boa Vista do Tupim;0,247;0,378;0,352;
BA;2903904;Bom Jesus da Lapa;0,309;0,371;0,478;
BA;2903953;Bom Jesus da Serra;;;0,35;
BA;2904001;Boninal;0,276;0,388;0,423;
BA;2904050;Bonito;;;0,427;
BA;2904100;Boquira;0,306;0,411;0,428;
BA;2904209;Botuporã;0,304;0,367;0,361;
BA;2904308;Brejões;0,28;0,447;0,43;
BA;2904407;Brejolândia;0,28;0,375;0,418;
BA;2904506;Brotas de Macaúbas;0,347;0,392;0,439;
BA;2904605;Brumado;0,324;0,481;0,515;
BA;2904704;Buerarema;0,342;0,477;0,422;
BA;2904753;Buritirama;;;0,348;
BA;2904803;Caatiba;0,241;0,362;0,374;
BA;2904852;Cabaceiras do Paraguaçu;;;0,354;
BA;2904902;Cachoeira;0,309;0,442;0,471;
BA;2905008;Caculé;0,316;0,405;0,467;
BA;2905107;Caém;0,219;0,362;0,388;
BA;2905156;Caetanos;;;0,347;
BA;2905206;Caetité;0,299;0,407;0,462;
BA;2905305;Cafarnaum;0,259;0,409;0,403;
BA;2905404;Cairu;0,333;0,398;0,434;
BA;2905503;Caldeirão Grande;0,25;0,353;0,375;
BA;2905602;Camacan;0,333;0,462;0,406;
BA;2905701;Camaçari;0,365;0,593;0,597;
BA;2905800;Camamu;0,299;0,54;0,415;
BA;2905909;Campo Alegre de Lourdes;0,286;0,362;0,363;
BA;2906006;Campo Formoso;0,272;0,392;0,389;
BA;2906105;Canápolis;0,261;0,358;0,372;
BA;2906204;Canarana;0,292;0,433;0,449;
BA;2906303;Canavieiras;0,33;0,489;0,425;
BA;2906402;Candeal;0,288;0,294;0,388;
BA;2906501;Candeias;0,407;0,531;0,545;
BA;2906600;Candiba;0,3;0,376;0,434;
BA;2906709;Cândido Sales;0,23;0,393;0,411;
BA;2906808;Cansanção;0,203;0,318;0,333;
BA;2906824;Canudos;;;0,358;
BA;2906857;Capela do Alto Alegre;;;0,432;
BA;2906873;Capim Grosso;;;0,397;
BA;2906899;Caraíbas;;;0,376;
BA;2906907;Caravelas;0,292;0,423;0,404;
BA;2907004;Cardeal da Silva;0,232;0,394;0,398;
BA;2907103;Carinhanha;0,284;0,435;0,382;
BA;2907202;Casa Nova;0,282;0,352;0,388;
BA;2907301;Castro Alves;0,288;0,368;0,44;
BA;2907400;Catolândia;0,223;0,371;0,398;
BA;2907509;Catu;0,338;0,548;0,529;
BA;2907558;Caturama;;;0,392;
BA;2907608;Central;0,279;0,511;0,438;
BA;2907707;Chorrochó;0,256;0,381;0,4;
BA;2907806;Cícero Dantas;0,244;0,323;0,375;
BA;2907905;Cipó;0,305;0,385;0,415;
BA;2908002;Coaraci;0,311;0,489;0,457;
BA;2908101;Cocos;0,273;0,378;0,421;
BA;2908200;Conceição da Feira;0,333;0,438;0,467;
BA;2908309;Conceição do Almeida;0,26;0,422;0,463;
BA;2908408;Conceição do Coité;0,295;0,417;0,413;
BA;2908507;Conceição do Jacuípe;0,352;0,475;0,54;
BA;2908606;Conde;0,234;0,339;0,357;
BA;2908705;Condeúba;0,252;0,351;0,401;
BA;2908804;Contendas do Sincorá;0,337;0,425;0,388;
BA;2908903;Coração de Maria;0,259;0,377;0,408;
BA;2909000;Cordeiros;0,285;0,356;0,39;
BA;2909109;Coribe;0,265;0,364;0,448;
BA;2909208;Coronel João Sá;0,195;0,286;0,308;
BA;2909307;Correntina;0,275;0,369;0,427;
BA;2909406;Cotegipe;0,305;0,398;0,376;
BA;2909505;Cravolândia;0,215;0,39;0,376;
BA;2909604;Crisópolis;0,238;0,353;0,365;
BA;2909703;Cristópolis;0,265;0,311;0,407;
BA;2909802;Cruz das Almas;0,35;0,533;0,553;
BA;2909901;Curaçá;0,31;0,357;0,43;
BA;2910008;Dário Meira;0,234;0,375;0,336;
BA;2910057;Dias d'Ávila;;;0,61;
BA;2910107;Dom Basílio;0,209;0,374;0,435;
BA;2910206;Dom Macedo Costa;0,289;0,401;0,42;
BA;2910305;Elísio Medrado;0,276;0,385;0,438;
BA;2910404;Encruzilhada;0,228;0,358;0,398;
BA;2910503;Entre Rios;0,253;0,387;0,416;
BA;2910602;Esplanada;0,296;0,391;0,437;
BA;2910701;Euclides da Cunha;0,247;0,341;0,349;
BA;2910727;Eunápolis;;;0,525;
BA;2910750;Fátima;;;0,313;
BA;2910776;Feira da Mata;;;0,473;
BA;2910800;Feira de Santana;0,409;0,596;0,644;
BA;2910859;Filadélfia;;;0,37;
BA;2910909;Firmino Alves;0,277;0,414;0,436;
BA;2911006;Floresta Azul;0,276;0,423;0,434;
BA;2911105;Formosa do Rio Preto;0,29;0,442;0,481;
BA;2911204;Gandu;0,278;0,482;0,54;
BA;2911253;Gavião;;;0,445;
BA;2911303;Gentio do Ouro;0,305;0,36;0,455;
BA;2911402;Glória;0,229;0,356;0,4;
BA;2911501;Gongogi;0,298;0,388;0,377;
BA;2911600;Governador Mangabeira;0,258;0,401;0,431;
BA;2911659;Guajeru;;;0,407;
BA;2911709;Guanambi;0,357;0,51;0,537;
BA;2911808;Guaratinga;0,236;0,338;0,422;
BA;2911857;Heliópolis;;;0,333;
BA;2911907;Iaçu;0,295;0,398;0,38;
BA;2912004;Ibiassucê;0,271;0,414;0,458;
BA;2912103;Ibicaraí;0,322;0,458;0,435;
BA;2912202;Ibicoara;0,283;0,375;0,392;
BA;2912301;Ibicuí;0,262;0,409;0,501;
BA;2912400;Ibipeba;0,292;0,41;0,415;
BA;2912509;Ibipitanga;0,262;0,379;0,444;
BA;2912608;Ibiquera;0,273;0,371;0,367;
BA;2912707;Ibirapitanga;0,289;0,388;0,359;
BA;2912806;Ibirapuã;0,264;0,388;0,457;
BA;2912905;Ibirataia;0,245;0,486;0,44;
BA;2913002;Ibitiara;0,3;0,43;0,411;
BA;2913101;Ibititá;0,299;0,415;0,415;
BA;2913200;Ibotirama;0,288;0,442;0,456;
BA;2913309;Ichu;0,332;0,422;0,481;
BA;2913408;Igaporã;0,336;0,462;0,447;
BA;2913457;Igrapiúna;;;0,378;
BA;2913507;Iguaí;0,268;0,383;0,404;
BA;2913606;Ilhéus;0,399;0,603;0,534;
BA;2913705;Inhambupe;0,226;0,328;0,374;
BA;2913804;Ipecaetá;0,256;0,352;0,387;
BA;2913903;Ipiaú;0,323;0,574;0,497;
BA;2914000;Ipirá;0,256;0,379;0,432;
BA;2914109;Ipupiara;0,35;0,441;0,462;
BA;2914208;Irajuba;0,236;0,361;0,367;
BA;2914307;Iramaia;0,273;0,393;0,373;
BA;2914406;Iraquara;0,249;0,367;0,431;
BA;2914505;Irará;0,268;0,376;0,407;
BA;2914604;Irecê;0,315;0,528;0,538;
BA;2914653;Itabela;;;0,415;
BA;2914703;Itaberaba;0,307;0,427;0,463;
BA;2914802;Itabuna;0,429;0,662;0,634;
BA;2914901;Itacaré;0,3;0,448;0,418;
BA;2915007;Itaeté;0,276;0,327;0,329;
BA;2915106;Itagi;0,252;0,387;0,385;
BA;2915205;Itagibá;0,258;0,399;0,396;
BA;2915304;Itagimirim;0,253;0,385;0,423;
BA;2915353;Itaguaçu da Bahia;;;0,32;
BA;2915403;Itaju do Colônia;0,275;0,401;0,367;
BA;2915502;Itajuípe;0,362;0,484;0,449;
BA;2915601;Itamaraju;0,268;0,428;0,492;
BA;2915700;Itamari;0,325;0,501;0,419;
BA;2915809;Itambé;0,276;0,382;0,415;
BA;2915908;Itanagra;0,23;0,371;0,363;
BA;2916005;Itanhém;0,251;0,398;0,464;
BA;2916104;Itaparica;0,403;0,571;0,511;
BA;2916203;Itapé;0,268;0,386;0,401;
BA;2916302;Itapebi;0,305;0,409;0,388;
BA;2916401;Itapetinga;0,347;0,547;0,553;
BA;2916500;Itapicuru;0,217;0,296;0,33;
BA;2916609;Itapitanga;0,276;0,404;0,424;
BA;2916708;Itaquara;0,275;0,347;0,37;
BA;2916807;Itarantim;0,25;0,384;0,405;
BA;2916856;Itatim;;;0,399;
BA;2916906;Itiruçu;0,31;0,425;0,428;
BA;2917003;Itiúba;0,242;0,371;0,377;
BA;2917102;Itororó;0,311;0,439;0,411;
BA;2917201;Ituaçu;0,246;0,382;0,42;
BA;2917300;Ituberá;0,276;0,46;0,406;
BA;2917334;Iuiú;;;0,401;
BA;2917359;Jaborandi;;;0,402;
BA;2917409;Jacaraci;0,215;0,379;0,433;
BA;2917508;Jacobina;0,3;0,425;0,466;
BA;2917607;Jaguaquara;0,268;0,431;0,436;
BA;2917706;Jaguarari;0,259;0,445;0,442;
BA;2917805;Jaguaripe;0,259;0,344;0,391;
BA;2917904;Jandaíra;0,217;0,335;0,34;
BA;2918001;Jequié;0,331;0,532;0,509;
BA;2918100;Jeremoabo;0,203;0,307;0,356;
BA;2918209;Jiquiriçá;0,23;0,414;0,4;
BA;2918308;Jitaúna;0,26;0,355;0,393;
BA;2918357;João Dourado;;;0,38;
BA;2918407;Juazeiro;0,394;0,52;0,522;
BA;2918456;Jucuruçu;;;0,343;
BA;2918506;Jussara;0,358;0,404;0,379;
BA;2918555;Jussari;;;0,398;
BA;2918605;Jussiape;0,299;0,402;0,454;
BA;2918704;Lafaiete Coutinho;0,265;0,4;0,384;
BA;2918753;Lagoa Real;;;0,379;
BA;2918803;Laje;0,286;0,373;0,441;
BA;2918902;Lajedão;0,262;0,467;0,579;
BA;2919009;Lajedinho;0,27;0,374;0,351;
BA;2919058;Lajedo do Tabocal;;;0,382;
BA;2919108;Lamarão;0,242;0,326;0,367;
BA;2919157;Lapão;;;0,425;
BA;2919207;Lauro de Freitas;0,359;0,595;0,738;
BA;2919306;Lençóis;0,332;0,433;0,446;
BA;2919405;Licínio de Almeida;0,299;0,402;0,463;
BA;2919504;Livramento de Nossa Senhora;0,284;0,423;0,486;
BA;2919553;Luís Eduardo Magalhães;;;;
BA;2919603;Macajuba;0,219;0,321;0,365;
BA;2919702;Macarani;0,266;0,355;0,41;
BA;2919801;Macaúbas;0,281;0,377;0,379;
BA;2919900;Macururé;0,246;0,371;0,348;
BA;2919926;Madre de Deus;;;0,587;
BA;2919959;Maetinga;;;0,382;
BA;2920007;Maiquinique;0,258;0,343;0,398;
BA;2920106;Mairi;0,285;0,374;0,416;
BA;2920205;Malhada;0,278;0,407;0,382;
BA;2920304;Malhada de Pedras;0,28;0,348;0,399;
BA;2920403;Manoel Vitorino;0,25;0,318;0,363;
BA;2920452;Mansidão;;;0,397;
BA;2920502;Maracás;0,266;0,401;0,389;
BA;2920601;Maragogipe;0,258;0,409;0,435;
BA;2920700;Maraú;0,252;0,375;0,377;
BA;2920809;Marcionílio Souza;0,284;0,407;0,374;
BA;2920908;Mascote;0,278;0,45;0,372;
BA;2921005;Mata de São João;0,325;0,494;0,503;
BA;2921054;Matina;;;0,373;
BA;2921104;Medeiros Neto;0,305;0,462;0,507;
BA;2921203;Miguel Calmon;0,275;0,378;0,4;
BA;2921302;Milagres;0,317;0,439;0,447;
BA;2921401;Mirangaba;0,218;0,343;0,349;
BA;2921450;Mirante;;;0,395;
BA;2921500;Monte Santo;0,214;0,308;0,312;
BA;2921609;Morpará;0,296;0,372;0,39;
BA;2921708;Morro do Chapéu;0,298;0,417;0,413;
BA;2921807;Mortugaba;0,253;0,404;0,44;
BA;2921906;Mucugê;0,291;0,426;0,422;
BA;2922003;Mucuri;0,24;0,44;0,436;
BA;2922052;Mulungu do Morro;;;0,372;
BA;2922102;Mundo Novo;0,315;0,409;0,393;
BA;2922201;Muniz Ferreira;0,303;0,356;0,417;
BA;2922250;Muquém de São Francisco;;;0,324;
BA;2922300;Muritiba;0,289;0,402;0,476;
BA;2922409;Mutuípe;0,28;0,431;0,42;
BA;2922508;Nazaré;0,323;0,493;0,466;
BA;2922607;Nilo Peçanha;0,283;0,377;0,363;
BA;2922656;Nordestina;;;0,318;
BA;2922706;Nova Canaã;0,284;0,428;0,456;
BA;2922730;Nova Fátima;;;0,491;
BA;2922755;Nova Ibiá;;;0,381;
BA;2922805;Nova Itarana;0,242;0,321;0,313;
BA;2922854;Nova Redenção;;;0,377;
BA;2922904;Nova Soure;0,217;0,31;0,391;
BA;2923001;Nova Viçosa;0,27;0,476;0,472;
BA;2923035;Novo Horizonte;;;0,475;
BA;2923050;Novo Triunfo;;;0,32;
BA;2923100;Olindina;0,252;0,341;0,337;
BA;2923209;Oliveira dos Brejinhos;0,33;0,431;0,408;
BA;2923308;Ouriçangas;0,205;0,311;0,391;
BA;2923357;Ourolândia;;;0,328;
BA;2923407;Palmas de Monte Alto;0,267;0,388;0,411;
BA;2923506;Palmeiras;0,329;0,461;0,453;
BA;2923605;Paramirim;0,269;0,42;0,439;
BA;2923704;Paratinga;0,298;0,337;0,399;
BA;2923803;Paripiranga;0,256;0,39;0,423;
BA;2923902;Pau Brasil;0,291;0,41;0,391;
BA;2924009;Paulo Afonso;0,34;0,489;0,537;
BA;2924058;Pé de Serra;;;0,402;
BA;2924108;Pedrão;0,274;0,419;0,432;
BA;2924207;Pedro Alexandre;0,18;0,291;0,296;
BA;2924306;Piatã;0,287;0,392;0,404;
BA;2924405;Pilão Arcado;0,285;0,333;0,324;
BA;2924504;Pindaí;0,296;0,434;0,424;
BA;2924603;Pindobaçu;0,267;0,375;0,365;
BA;2924652;Pintadas;;;0,387;
BA;2924678;Piraí do Norte;;;0,369;
BA;2924702;Piripá;0,224;0,331;0,417;
BA;2924801;Piritiba;0,297;0,459;0,424;
BA;2924900;Planaltino;0,234;0,447;0,365;
BA;2925006;Planalto;0,221;0,345;0,366;
BA;2925105;Poções;0,279;0,363;0,416;
BA;2925204;Pojuca;0,352;0,565;0,574;
BA;2925253;Ponto Novo;;;0,333;
BA;2925303;Porto Seguro;0,294;0,542;0,534;
BA;2925402;Potiraguá;0,288;0,367;0,398;
BA;2925501;Prado;0,257;0,407;0,412;
BA;2925600;Presidente Dutra;0,245;0,389;0,394;
BA;2925709;Presidente Jânio Quadros;0,221;0,312;0,361;
BA;2925758;Presidente Tancredo Neves;;;0,344;
BA;2925808;Queimadas;0,246;0,353;0,361;
BA;2925907;Quijingue;0,229;0,302;0,29;
BA;2925931;Quixabeira;;;0,355;
BA;2925956;Rafael Jambeiro;;;0,375;
BA;2926004;Remanso;0,303;0,41;0,399;
BA;2926103;Retirolândia;0,264;0,42;0,398;
BA;2926202;Riachão das Neves;0,289;0,393;0,389;
BA;2926301;Riachão do Jacuípe;0,305;0,433;0,448;
BA;2926400;Riacho de Santana;0,309;0,367;0,414;
BA;2926509;Ribeira do Amparo;0,252;0,266;0,307;
BA;2926608;Ribeira do Pombal;0,261;0,38;0,404;
BA;2926657;Ribeirão do Largo;;;0,329;
BA;2926707;Rio de Contas;0,29;0,41;0,438;
BA;2926806;Rio do Antônio;0,246;0,401;0,382;
BA;2926905;Rio do Pires;0,282;0,386;0,433;
BA;2927002;Rio Real;0,246;0,376;0,435;
BA;2927101;Rodelas;0,294;0,374;0,523;
BA;2927200;Ruy Barbosa;0,272;0,4;0,417;
